S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
266,AMROHA,P S KATRA GULAM ALI,,
267,AMROHA,P S LAKDA,,
268,AMROHA,P S PEERGARH,,
269,AMROHA,P S PEERZADA,,
270,AMROHA,SANVILIYAN VIDYALAYA KAKRALI,,
271,AMROHA,SANVILIYAN VIDYALAYA SALARPUR GHANA,,
272,AMROHA,SANVILIYAN VIDYALAYA RAMPUR GHANA,,
273,AMROHA,SANVILIYAN VIDYALAYA PACHAUKARA,,
274,AMROHA,SANVILIYAN VIDYALAYA POORANPUR,,
275,AMROHA,SANVILIYAN VIDYALAYA ZOYA,,
276,AMROHA,SANVILIYAN VIDYALAYA AMROHA DEHAT,,
277,AMROHA,SANVILIYAN VIDYALAYA DARIYAPUR,,
278,AMROHA,SANVILIYAN VIDYALAYA TOKRA PATTI,,
279,AMROHA,P S RAIPUR BHUDD SUMALI,,
280,AMROHA,P S SHAHBAZPUR DOR,,
281,AMROHA,SANVILIYAN VIDYALAYA SHAHPUR RAJHEDA,,
282,AMROHA,SANVILIYAN VIDYALAYA MOHAMMADPUR PATTI,,
283,AMROHA,SANVILIYAN VIDYALAYA SAIRAKPUR,,
284,AMROHA,SANVILIYAN VIDYALAYA NEKPUR,,
285,AMROHA,SANVILIYAN VIDYALAYA ASHAKPURA AJAMPUR,,
286,AMROHA,P S LADANPUR,,
287,AURAIYA,JANTA INTER COLLAGE INGUTHIYA,Basic Education,Turkipur
288,AURAIYA,SHREE RAM INTER COLLAGE DEVERPUR,Basic Education,Suran
289,AURAIYA,JANTA INTER COLLEGE SALHAPUR ,Basic Education,Kakhabtu
290,AURAIYA,NAGAR PALIKA INTER COLLEGE AURIYA ,Basic Education,Khanpur
291,AURAIYA,JANTA INTER  COLLEGE  KAKOR ,Basic Education,Panhar
292,AURAIYA,JANTA INTER COLLAGE ASHENI ,Basic Education,Dhamaseni
293,AURAIYA,TOMAR RAGHUNATH   SINGH INTER ARIYARI ,Basic Education,Alchinagar
294,AURAIYA,SHREE MATI RAMDULARI U M V AUNTO,Basic Education,Elchinagar
295,AURAIYA,KNEDI U M V HARVANSPUR ,Basic Education,Hazaripur
296,AURAIYA,NEHRU SMARK I C KAITHAWA ,Basic Education,Nawalpur Details
297,AURAIYA,ADARSH  U M V BIDHUNA,Basic Education,Girls Jagatpur
298,AURAIYA,JILA PANCHYAT U M V UAMRAIN ,Basic Education,Rajandajanagar Atsu
299,AURAIYA,JANTA I C BARUNA KALA ,Basic Education,besalpur
300,AURAIYA,RASTIYA KISHAN INTER COLLEGE KUDERCOAT ,Basic Education,Safar
301,AURAIYA,GULJARI LAL INTER  COLLEGE PHAPHUND ,Basic Education,Gulabpur
302,AURAIYA,KISAN I NTER COLLEGE  BHAGYA NAGAR ,Basic Education,old age
303,AURAIYA,JILA PANCHYAT U M V RURU NAGAR,Basic Education,Kothipur
304,AURAIYA,SHREE RADHA RAMAN  U M V PHAPHUND,Basic Education,Dibiyapur
305,AURAIYA,SHREE NARAYAN INTER COLLEGE ASJANA,Basic Education,Keshampur
306,AURAIYA,NARAYAN I C BADERA ,Basic Education,adhaasi
307,AURAIYA,VIJAY SANKAR SHANTI DEVI U MV BAHADUR PUR UNCHA,Basic Education,Biria
308,AURAIYA,JANTA INTER COLLEGE AJEETMAL,Basic Education,Rautiapur
309,AURAIYA,JAN SAHYOGI INTER COLLEGE AMAVATA ,Basic Education,Hazratpur
310,AURAIYA,JANTA I C VEERU HONI,Basic Education,chhadund
311,AURAIYA,SHIV INTER COLLEGR HAIDERPUR ,Basic Education,aut
312,AURAIYA,JILA PANCHYAT I C MURAD GANJ ,Basic Education,Bhatauli
313,AURAIYA,SARVODYA I C SANPHAR,Basic Education,Shahabad
314,AURAIYA,RADHAVALLABH INTER COLLEGE FAFHUNDA,Basic Education,Dahagaon
315,AURAIYA,VEDIK INTER COLLEGE DIBIYAPUR ,Basic Education,karauli
316,AURAIYA,MANAS INTER COLLEGE KANCHAUSI ,Basic Education,Mukutpur
317,AURAIYA,JAN SAHYOGI I C BUDHADANA ,Basic Education,Rathgaon
318,AURAIYA,CHAUDHARY RAGHUNANDAN SINGH INTER COLLEGE RAHATPUR ,Basic Education,Badhamou
319,AURAIYA,CHAUDHARY VISAMBER SINGH INTER COLLEGE AURIYA ,Basic Education,Ratha
320,AURAIYA,GANGA RAM BAJAJA BALIKA INTER COLLEGE AURIYA ,Basic Education,Dulha Rai's Purva
321,AURAIYA,TILAK INTER COLLEGE AURIYA,Basic Education,hamirpur sahar
322,AURAIYA,PANDIT AATMA RAM MISHRA INTER COLLEGE KYOTRA ,secondary education,Airwakatra
323,AURAIYA,SHREE RAM SHAYA INTER COLLEGE PANHAR ,secondary education,Bidhuna
324,AURAIYA,SHREE SUNDER SINGH INTER COLLEGE HARCHANDPUR ,secondary education,Bhagyanagar
325,AURAIYA,BAGWAN DAS I C HARCHANDPUR ,secondary education,Bhagyanagar
326,AURAIYA,PRATMIK VIDHYLYA MIHAULI,secondary education,auraiya
327,AURAIYA,PRATHMIK VIDHYLYA BIRIYA ,secondary education,auraiya
328,AURAIYA,PRATHMIK VIDHYLYA  KAKHABTU ,secondary education,auraiya
329,AURAIYA,PRATHMIK VIDHYLYA GYANPUR PRATAP SINGH ,secondary education,auraiya
330,AURAIYA,PRATHMIK VIDHYLYA PRATHVIPUR,secondary education,Achalda
331,AURAIYA,PRATHMIK VIDHYLYA  GAURIGANGA PRASAD ,secondary education,Ajitmal
332,AURAIYA,PRATHMIK VIDHYLYA NAGLA JAI SINGH ,secondary education,Ajitmal
333,AURAIYA,PRATHMIK VIDHYLYA LAHRAPUR ,secondary education,Ajitmal
334,AURAIYA,PRATHMIK VIDHYLYA PATA,secondary education,auraiya
335,AURAIYA,PRATHMIK VIDHYLYA VANSHI ,secondary education,Bhagyanagar
336,AURAIYA,NEHRU I C AURIYA ,secondary education,Ajitmal
337,AURAIYA,PRATHMIK VIDYALAY MISHRIPUR,,
338,AURAIYA,PRATHMIK VIDYLAYA PRATAPPUR,,
339,AURAIYA,PRATHMIK VIDYALAY HARSHAY KA PURVA,,
340,AURAIYA,PRATHMIK VIDYALAY  MAHARAJPUR,,
341,AURAIYA,PRATHMIK VIDYALAY NAVEEN NAGAR BABARPUR,,
342,AURAIYA,PRATHMIK VIDYALAY KHUSHALPUR,,
343,AURAIYA,PRATHMIK VIDYALAY SAFAR AJEETMAL,,
344,AURAIYA,PRATHMIK VIDYALAY SURAAN,,
345,AURAIYA,PRATHMIK VIDYALAY KHANPUR PRATHAM,,
346,AURAIYA,UCCH PRATHMIK VIDYALAY UMARI COMPOSITE,,
347,AURAIYA,UCCH PRATHMIK VIDYALAY VEHARI COMPOSITE,,
348,AURAIYA,PRATHMIK VIDYALAY SASENI,,
349,AURAIYA,PRATHMIK VIDYALAY ADHARA,,
350,AURAIYA,PRATHMIK VIDYALAY BHAGAT PURVA,,
351,AURAIYA,UCCH PRATHMIK VIDYALAY ARIYAARI COMPOSITE,,
352,AYODHYA,RAJKIY BALIKA INTER COLLEGE AMANIGANJ FAIZABAD,Basic Education,Pilkhawan Sohawal Ayodhya
353,AYODHYA,RAJKIYA HIGH SCHOOL GADHA FAIZABAD,Basic Education,Devrakot Sohawal Ayodhya
354,AYODHYA,RAJKIYA BALIKA INTER COLLEGE TOROGAFI FAIZABAD,Basic Education,Ramnagar Dhaurahra Sohawal
355,AYODHYA,RAJKIYA HIGH SCHOOL PURE NANDATIWARAI FAIZABAD,Basic Education,Pura Ayodhya
356,AYODHYA,RAJKIYA BALIKA INTER COLLEGE HAIDARGANJ FAIZABAD,Basic Education,Pura Ayodhya
357,AYODHYA,RAJKIYA BALIKA INTER COLLEGE RUDAULI FAIZABAD,Basic Education,Pura Ayodhya
358,AYODHYA,RAJKIYA HIGH SCHOOL JAMUNIYAMAU FAIZABAD,Basic Education,Pura Ayodhya
359,AYODHYA,RAJKIYA BALIKA INTER COLLEGE SALONIYA FAIZABAD,Basic Education,Pura Ayodhya
360,AYODHYA,RAJKIYA BALIKA INTER COLLEGE GAUHNIYA FAIZABAD,Basic Education,Aimialapur
361,AYODHYA,RAJKIYA BALIKA INTER COLLEGE GOSHAYIGANJ FAIZABAD,Basic Education,Tendha Milkipur Ayodhya
362,AYODHYA,RAJKIYA HIGH SCHOOL BENVA FAIZABAD,Basic Education,Uday Milkipur Ayodhya
363,AYODHYA,RAJKIYA HIGH SCHOOL BHADAULI FAIZABAD,Basic Education,Sariyawan Sahulara Ayodhya
364,AYODHYA,RAJKIYA  BALIKA INTER COLLEGE FAIZABAD,Basic Education,Sariyawan Sahulara Ayodhya
365,AYODHYA,RAJKIYA INTER COLLEGE FAIZABAD (FATEHGANJ),Basic Education,Sarainasir Rudauli
366,AYODHYA,TULSI RAJKIY KANYA INTER COLLEGE AYODHYA FAIZABAD,Basic Education,Sandri Rudauli
367,AYODHYA,FORBES INTER COLLEGE FAIZABAD,Basic Education,Naipura Rudauli
368,AYODHYA,MAHARAJA INTER COLLEGE AYODHYA,Basic Education,Chiraundhapur Rudauli
369,AYODHYA,S S B INTER COLLEGE AYODHYA,Basic Education,draft abbusarai
370,AYODHYA,BACHCHU LAL INTER COLLEGE POORA AYODHYA,Basic Education,Babhangawan draft
371,AYODHYA,SHRI NIRBHAY SINGH AUDYOGIK INTER COLLEGE RAMPUR SARDHA AYODHYA,Basic Education,Bhadarsa Bahar
372,AYODHYA,SHRINGI RISHI INTER COLLEGE ISHAPUR MAHBUBGANJ AYODHYA,Basic Education,Bikapur
373,AYODHYA,DWAPAR VIDYAPEETH INTER COLLEGE BARAIPARA AYODHYA,Basic Education,Lutfabad Bachaili
374,AYODHYA,PARASAR V M INTER COLLEGE PAUSARA AYODHYA,Basic Education,Chare Bazaar
375,AYODHYA,"RAM SEVAK YADAV INTER COLLEGE PARAKHAN, DARSHAN NAGAR AYODHYA",Basic Education,Kocha Composite
376,AYODHYA,METHODIST MISSION GIRLS INTER COLLEGE AYODHYA,Basic Education,Malethu Elders
377,AYODHYA,P D PANDEY INTER COLLEGE SONAISA AYODHYA,Basic Education,Atesar Amaniganj
378,AYODHYA,PT. JAWAHAR LAL NEHRU RAMA INTER COLLEGE KHAJURAHAT AYODHYA,Basic Education,Gadauli Amaniganj
379,AYODHYA,S S INTER COLLEGE KHAPRA DIH AYODHYA,Basic Education,Manjhanpur Amaniganj
380,AYODHYA,JANTA INTER COLLEGE JAI SINGH MAU AYODHYA,Basic Education,Katghara Amaniganj
381,AYODHYA,KRISHAK INTER COLLEGE RAMPUR BHAGAN AYODHYA,Basic Education,Ram Nagar Aamava Sufi Amaniganj
382,AYODHYA,K K A D INTER COLLEGE MAJRUDDINPUR AYODHYA,Basic Education,Hardoiya Harrington Ganj
383,AYODHYA,BHARTI INTER COLLEGE BIKAPUR AYODHYA,Basic Education,Jasarpur Harrington Ganj
384,AYODHYA,SHRI BHARAT INTER COLLEGE NANDIGRAM BHARAT KUND AYODHYA,Basic Education,Paratajpur I Harrington Ganj
385,AYODHYA,R D INTER COLLEGE SUCHITTAGANJ AYODHYA,Basic Education,Dabhasemar Ayodhya
386,AYODHYA,JAN SAMAJ VIDYAPEETH INTER COLLEGE DIGAMBARPUR AYODHYA,Basic Education,Ghuretta Harrington Ganj
387,AYODHYA,SHRI RAM VALLABH VIDYAPEETH INTER COLLEGE DEORHI AYODHYA,secondary education,Sadar
388,AYODHYA,SETH DUARIKA DAS MEMO HIGHER SECONDARY SCHOOL MOTINAGAR AYODHYA,secondary education,Sadar
389,AYODHYA,RAMBARAN INTER COLLEGE GHATOLI AYODHYA,secondary education,Sadar
390,AYODHYA,RAM SARDAR PANDEY SMARAK SHIVPURI INTER COLLEGE KHANDASA AYODHYA,secondary education,Milkipur
391,AYODHYA,DEV VIDYALAY INTER COLLEGE TARAULI AYODHYA,secondary education,Bikapur
392,AYODHYA,P S MANJHANPUR,secondary education,Amaniganj
393,AYODHYA,P S KHAJURHAT,secondary education,Gauhania
394,AYODHYA,P S CHANDIPUR NAGHARA,secondary education,Sohawal
395,AYODHYA,P S AMAUNI,secondary education,Rudauli
396,AYODHYA,P S SHERVAGHAT,secondary education,Sohawal
397,AYODHYA,P S TIKRA,secondary education,Bikapur
398,AYODHYA,P S MUNDADIH,secondary education,Milkipur
399,AYODHYA,P S SANDARI,secondary education,Mwai
400,AYODHYA,P S ISMAYIL NAGAR SINHORA,secondary education,Bahras Rudauli
401,AYODHYA,P S HATHIGO,secondary education,Kahwa Milkipur
402,AZAMGARH,"SHREE MAHANT SMASHREY DARA RAJKIYA INTER COLLEGE JOKHARA, AZAMGARH",Basic Education,Hausamatloobpur
403,AZAMGARH,RAJKIYA BALIKA INTER COLLEGE AZAMGARH,Basic Education,Gauri
404,AZAMGARH,RAJKIYA BALIKA INTER COLLEGE ATRAULIA AZAMGARH ,Basic Education,Hasnadih
405,AZAMGARH,"RAJKIYA BALIKA INTER COLLEGE BARWAAN, AZAMGARH",Basic Education,Atraulia
406,AZAMGARH,"RAJKIYA BALIKA INTER COLEGE BAGWAAR, AZAMGARH",Basic Education,Atraulia
407,AZAMGARH,"RAJKIYA BALIKA INTER COLLEGE SARAIMEER, AZAMGARH",Basic Education,increased
408,AZAMGARH,"RAJKIYA BALIKA INTER COLLEGE AMBARI, AZAMGARH",Basic Education,Chhapra Sultanpur I
409,AZAMGARH,RAJKIYA BALIKA INTER COLLEGE AJMATGARH,Basic Education,Mahula
410,AZAMGARH,RAJKIYA BALIKA INTER COLLEGE KATGHAR LALGANJ AZAMGARH,Basic Education,Azmatgarh I
411,AZAMGARH,"ABHINAV VIDHYALAY TERAHI, KAPTANGANJ AZAMGARH",Basic Education,Jamuwari
412,AZAMGARH,RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY ASWANIYA,Basic Education,A.D. Karkhia I
413,AZAMGARH,RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY DEVGAANV,Basic Education,Hyderabad
414,AZAMGARH,"RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY, PIHAR, HARAIYA AZAMGARH",Basic Education,Bachhuapar
415,AZAMGARH,RAJKIYA BALIKA INTER COLLEGE KANAILA AZAMGARH,Basic Education,Kaptanganj
416,AZAMGARH,RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY ETAIL AZAMAGARH,Basic Education,Velrad
417,AZAMGARH,RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY SURJAN NAGAR AZAMGARH,Basic Education,Amiels
418,AZAMGARH,RAJKIYA BALIKA UCCH MADHYAMIK VIDHYALAY DHUBHAV AZAMGARH,Basic Education,Kashipur
419,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY KHARONTI AZAMGARH,Basic Education,Shahgarh I
420,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY SARAIPUL AZAMGARH,Basic Education,Jigini
421,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY MITTUPUR AZAMGARH,Basic Education,Dharnipur
422,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY RESIHPUR AZAMGARH,Basic Education,Gajendrapatti
423,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY FATETPUR AZAMGARH,Basic Education,ajmatgarh
424,AZAMGARH,RAJKIYA UCCH MADHYAMIK VIDHYALAY RASULPUR AZAMGARH,Basic Education,Srinagar
425,AZAMGARH,"GANDHI GURUKUL INTER COLLEGE BHAVARNATH, AZAMGARH",Basic Education,Chaklalchand
426,AZAMGARH,"GANDHI INTER COLLEGE MUBARAKPUR, AZAMGARH",Basic Education,Jahanaganj
427,AZAMGARH,"SHREE RAM RASHTRIYA INTER COLLEGE JAHANGANJ, AZAMGARH",Basic Education,Coalsa
428,AZAMGARH,D A V INTER COLLEGE AZAMAGARH,Basic Education,Deogaon I
429,AZAMGARH,SHIBALI NATIONAL INTER COLLEGE AZAMGARH,Basic Education,maharajganj
430,AZAMGARH,S K P INTER COLLEGE AZAMGARH,Basic Education,Mehnagar
431,AZAMGARH,SHREE AGRASEN KANYA INTER COLLEGE AZAMGARH,Basic Education,Durbasa
432,AZAMGARH,"NISHVA INTER COLLEGE, AZAMGARH",Basic Education,Asada
433,AZAMGARH,"MUBARAKPUR INTER COLLEGE MUBARAKPUR, AZAMGARH",Basic Education,Jafarpur
434,AZAMGARH,"INTERMEDIATE COLLEGE SATHIYAANV, AZAMGARH",Basic Education,Queen's Inn
435,AZAMGARH,"GRAM SMAAJ INTER COLLEGE JAINAGAR, AZAMGARH",Basic Education,Shahgarh I
436,AZAMGARH,"UDHOG VIDHYALAY INTER COLLEGE KOYLASA, AZAMGARH",Basic Education,Raisihanpur
437,AZAMGARH,AMZAD ALI INTER COLLEGE MUHAMMADPUR SADAR AZAMGARH,secondary education,Bhawanath Azamgarh
438,AZAMGARH,"JANTA INTER  COLLEGE NIZAMABAD, AZAMGARH",secondary education,Mubarakpur Azamgarh
439,AZAMGARH,"SHREE RAJENDRA SMARAK INTER COLLEGE SETHWAL, AZAMGARH",secondary education,Azamgarh
440,AZAMGARH,"RASHTRIYA INTER COLLEGE TEHBRPUR, AZAMGARH",secondary education,Azamgarh
441,AZAMGARH,SHREE DURGAJI INTER COLLEGE CHANDE AZAMGARH,secondary education,Chandeshwar Azamgarh
442,AZAMGARH,COMPOSITE VIDHYALAY ABHANPATTI SAGADI AZAMGARH,secondary education,Bhimber Azamgarh
443,AZAMGARH,PRATHMIK VIDHYALAY ISMAILPUR SAGADI AZAMGARH,secondary education,Bankat Azamgarh
444,AZAMGARH,COMPOSITE VIDHYALAY ACHALNAGAR SAGDI AZAMGARH,secondary education,Ghaghra Latghat Azamgarh
445,AZAMGARH,PRATHMIK VIDHYALAY PATWAR SAGDI AZAMGARH,secondary education,Azamgarh
446,AZAMGARH,PRATHMIK VIDHYALAY DEVAR KHAS RAJA SAGDI AZAMGARH,secondary education,Jahanaganj Azamgarh
447,AZAMGARH,PRATHMIK VIDHYALAY MAHAJI DEVRA JADID SAGDI AZAMGARH,secondary education,Mubarakpur Azamgarh
448,AZAMGARH,PRATHMIK VIDHYALAY KUDAHI SAGDI AZAMGARH,secondary education,Azamgarh
449,AZAMGARH,PRATHMIK VIDHYALAY RASULPUR BHAIYA SAGDI AZAMAGARH,secondary education,Lalganj Azamgarh
450,AZAMGARH,PRATHMIK VIDHYALAY ARAJI IBRAHIMPUR SAGDI AZAMGARH,secondary education,Sathiyanv Azamgarh
451,AZAMGARH,PRATHMIK VIDHYALAY MALAAHPURVA SAGDI AZAMGARH,secondary education,Tarawa Azamgarh
452,BADAUN,"NEHRU INTER COLLEGE, RUDAYAN",Basic Education,Village Samrer and Dataganj Block Samrer District Badaun
453,BADAUN,"SANTOSH KUMAR MEMORIAL INTRE COLLEGE, GANGOLA",Basic Education,"Village Mudeli, Dataganj, Block Samrer, District Badaun"
454,BADAUN,"MADAN LALA IN TER COLLEGE, BISAULI",Basic Education,Village Dhaurera and Dataganj Block Samrer District
455,BADAUN,"MUNNA LAL INTER COLLEGE, WAZIRGANJ",Basic Education,Village Kalyanpur Tehsil Dataganj Block Samrer District Badaun
456,BADAUN,"RAM SHARAN VAIDH, ADARSH INTER COLLEGE, MAIWASAI",Basic Education,Village Bhikampur Tehsil Dataganj Block Samrer District Badaun
457,BADAUN,"PRAMOD INTER COLLEGE, SAHASWAN",Basic Education,Village Allahpur Bhogi Development Area Ujhani Badaun
458,BADAUN,"ASHARFI LAL LAXMI NARAYAN INTER COLLEGE, DAHGAWAN",Basic Education,Village Anni Development Area Ujhani Badaun
459,BADAUN,"PANNA LAL NAGAR PALIKA INTER COLLEGE, SAHASWAN",Basic Education,Village Barayamai Kheda Development Area Ujhani Budaun
460,BADAUN,"N A INTER COLLEGE, BILSI",Basic Education,Village Ghatuna Development Area Ujhani Budaun
461,BADAUN,"AARYA KANYA INTER COLLEGE,ISLAM NAGR",Basic Education,Village Nasrullahpur Block Ujhani Badaun
462,BADAUN,"AARYA KANYA INTER COLLEGE, BILSI",Basic Education,Village Madanjuri Block Bisauli Badaun
463,BADAUN,"K M INTER COLLEGE, ISLAM NAGR",Basic Education,Village Panaudi Block Bisauli Badaun
464,BADAUN,"NANU MAL JAIN INTER COLLEGE, BILSI",Basic Education,Village Paigabhikampur Block Bisauli Badaun
465,BADAUN,"MAHATMA PALIKA INTER COLLEGE, UJHANI",Basic Education,Village Ladhera Block Bisauli Badaun
466,BADAUN,"SHRI KRISHNA INTER COLLEGE, BADAUN",Basic Education,Village Sandoli Block Bisauli Badaun
467,BADAUN,"KUWAR RUKUM SINGH VAIDIK INTER COLLEGE, NAGLA PURVI",Basic Education,"Village Karkhedi, Block Bisauli, Badaun"
468,BADAUN,"KEDAR NATH MAHILA INTER COLLEGE, BADAUN",Basic Education,Village Harraipur Block Bisauli Badaun
469,BADAUN,"RAJA RAM MAHILA INTER COLLEGE, BADAUN",Basic Education,Village Ranet Development Area Bisauli Badaun
470,BADAUN,"PARWATI ARYA KANYA SANSKRIT INTER COLLEGE, BADAUN",Basic Education,"Village Gauspur, Block Jagat, Badaun"
471,BADAUN,"HAFIZ SIDDIQUE ISLAMIYA IN TER COLLEGE, BADAUN",Basic Education,Village Girdharpur Block Jagat Badaun
472,BADAUN,"NAGAR PALIKA INTER COLLEGE, BADAUN",Basic Education,Asafpur
473,BADAUN,"RADHE LAL INTER COLLEGE, KACHHALA",Basic Education,Ambiyapur
474,BADAUN,"RASHTRIYA INTER COLLEGE, GILDIYA",Basic Education,Bisauli
475,BADAUN,"TRIVENI SAHAY INTER COLLEGE, AASAFPUR",Basic Education,Dataganj
476,BADAUN,"GANGA DEEN INTER COLLEGE, GURANVIGANJ",Basic Education,Dahgwaan
477,BADAUN,"NAGAR PALIKA ASHARFI DEVI KANYA INTER COLLGE, UJHANI",Basic Education,universe
478,BADAUN,"RAJKIYA INTER COLLGE, BADAUN",Basic Education,Islamnagar
479,BADAUN,"RAJKIYA KANYA INTER COLLGE, BADAUN",Basic Education,Kadarchok
480,BADAUN,"RAJKIYA KANYA INTER COLLGE, BISAULI",Basic Education,meow
481,BADAUN,"RAJKIYA KANYA INTER COLLGE, DATAGANJ",Basic Education,Samrer
482,BADAUN,"RAJKIYA INTER COLLGE, NIZAMPUR",Basic Education,Sahaswan
483,BADAUN,"RAJKIYA INTER COLLGE, GABHIYAE",Basic Education,Salarpur
484,BADAUN,"RAJKIYA INTER COLLGE, NADHABHOOD",Basic Education,Usawa
485,BADAUN,"RAJKIYA KANYA INTER COLLGE, SAHASWAN",Basic Education,ujhani
486,BADAUN,"PT. D D U RAJKIYA MODEL INTER COLLEGE, ARSIS BARKHIN",Basic Education,Wazirganj
487,BADAUN,"PT. D D U RAJKIYA MODEL INTER COLLEGE, CHAUDERA",secondary education,Kadar Chowk Badaun
488,BADAUN,"PT. D D U RAJKIYA MODEL INTER COLLEGE, NAAGPUR, NOORPUR",secondary education,Kadar Chowk Badaun
489,BADAUN,"RAJKIYA KANYA INTER COLLGE, NASEERPUR TAPAPA MALSAI",secondary education,Salarpur Budaun
490,BADAUN,"RAJKIYA KANYA INTER COLLEGE, SAIDPUR",secondary education,Salarpur Budaun
491,BADAUN,"RAJKIYA KANYA INTER COLLGE, CHAUDERA",secondary education,ujhani badaun
492,BADAUN,"PRATHAMIK VIDDYALAY, MADANJUDI",secondary education,bazirganj badaun
493,BADAUN,"PRATHAMIK VIDDYALAY, KAITHULIYA",secondary education,Sahaswan Budaun
494,BADAUN,"PRATHAMIK VIDDYALAY, DAHARPUR KALA PRATHAM",secondary education,Sahaswan Budaun
495,BADAUN,"PRATHAMIK VIDDYALAY, TIGULAPUR",secondary education,Dataganj Budaun
496,BADAUN,"PRATHAMIK VIDDYALAY, WAZIRGANJ",secondary education,Dataganj Budaun
497,BADAUN,"PRATHAMIK VIDDYALAY, ZARIF NAGAR",secondary education,Sadar Badaun
498,BADAUN,"PRATHAMIK VIDDYALAY, KUWADADA",secondary education,Sadar Badaun
499,BADAUN,"PRATHAMIK VIDDYALAY, BARSUA",secondary education,Sadar Badaun
500,BADAUN,"PRATHAMIK VIDDYALAY, HASANPUR",secondary education,Sadar Badaun
501,BADAUN,"PRATHAMIK VIDDYALAY, UNOLA",secondary education,Sadar Badaun
502,BAGPAT,"RAJKIYA INTER COLLEGE, DAHA",Basic Education,Titaroda
503,BAGPAT,"RAJKIYA KANYA INTER COLLEGE, BAGHPAT",Basic Education,Titaroda
504,BAGPAT,"RAJKIYA GIRLS INTER COLLEGE, TUGANA",Basic Education,shahjahanpur
505,BAGPAT,"RAJKIYA KANYA INTER COLLEGE, BARAUT",Basic Education,Bhadal
506,BAGPAT,"RAJKIYA KANYA INTER COLLEGE, BA0LI",Basic Education,Kanhad
507,BAGPAT,"RAJKIYA INTER COLLEGE, JHANGARH URF DAUJHA, BAGPAT",Basic Education,pattibanjaran
508,BAGPAT,"RAJKIYA UCHHATAR MADHYAMIK VIDYALAY, FATEHPUR , P00THI",Basic Education,imbrahimpur mazra 1
509,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY, BADARKHA",Basic Education,Basi
510,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY,SOOP",Basic Education,Basi
511,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY,CHAUBLI",Basic Education,Basi
512,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY, MAVIKALA",Basic Education,Doulcha
513,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY, GAUNA",Basic Education,Doulcha
514,BAGPAT,"RAJKIYA UCHHATAR MADDHYAMIK VIDYALAY, MUBARIKPUR",Basic Education,kotana
515,BAGPAT,RAJKIYA HIGH SCHOOL BASAUDA,Basic Education,kotana
516,BAGPAT,"RAJKIYA HIGH SCHOOL, TILPANI",Basic Education,Doula
517,BAGPAT,"RAJKIYA HIGH SCHOOL, SUBHANPUR",Basic Education,Puramahadev
518,BAGPAT,"RAJKIYA HIGH SCHOOL, AHAIRA",Basic Education,shabga
519,BAGPAT,"RAJKLIYA HIGH SCHOOL, GANGNAULI",Basic Education,shabga
520,BAGPAT,RAJKIYA HIGH SCHOOL BODHA,Basic Education,Gauripur Jawaharnagar
521,BAGPAT,"GANDHI VIDDYALAY INTER COLLEGE, KHEKRA",Basic Education,Gauripur Jawaharnagar
522,BAGPAT,"JAIN INTER COLLEGE, KHEKRA",Basic Education,Sisana
523,BAGPAT,"KANYA KASTURBA INTER COLLEGE, KHEKRA",Basic Education,Sisana
524,BAGPAT,"ST. JOSEPH HIGH SCHOOL, LALIYANA",Basic Education,Poly
525,BAGPAT,"ST. MARY INTER COLLEGE, RATAUL",Basic Education,Khedki
526,BAGPAT,"JANTA INTER COLLEGE, PALRI",Basic Education,khubbipur niwada
527,BAGPAT,"ARYA VIDDYALAY INTER COLLEGE, TEDA",Basic Education,khubbipur niwada
528,BAGPAT,"GANDHI SMARAK INTER COLLEGE, DOGHAT",Basic Education,khubbipur niwada
529,BAGPAT,"B P INTER COLLEGE, BIJWARA",Basic Education,Nathla
530,BAGPAT,"SHRI HARCHAND MAL JAIN INTER COLLEGE, TIKRI",Basic Education,Nathla
531,BAGPAT,"ASHOK VIDDYALAY INTER COLLEGE, KAMALA JOOD",Basic Education,Sultanpur Deleting
532,BAGPAT,"ARYA INTER COLLEGE, JIWANA",Basic Education,Ninana
533,BAGPAT,"DEV NAGRI INTER COLLEGE, KHATTA PRAHALADPUR",Basic Education,bagpat
534,BAGPAT,"AADARSH INTER COLLEGE, DAULA",Basic Education,bagpat
535,BAGPAT,"SHILCHAND INTER COLLEGE, AMIN NAGAR SARAI",Basic Education,tendon
